country,kill_sum,severity_score
4,4337.0,40.0
147,1493.0,39.0
228,859.0,38.0
229,689.0,37.0
65,488.0,36.0
182,462.0,35.0
146,447.0,34.0
33,422.0,33.0
95,307.0,32.0
123,299.0,31.0
200,248.0,30.0
138,236.0,29.0
153,196.0,28.0
137,154.0,27.0
92,135.0,26.0
160,100.0,25.0
37,83.0,24.0
45,71.0,23.0
41,62.0,22.0
195,59.0,21.0
1004,51.0,20.0
42,42.0,19.0
104,32.0,18.0
34,28.0,17.0
93,27.0,16.0
217,26.0,15.0
159,20.0,14.0
155,17.0,13.0
222,14.0,12.0
97,13.0,11.0
113,13.0,11.0
60,13.0,11.0
99,12.0,10.0
130,12.0,10.0
205,11.0,9.0
183,8.0,8.0
44,8.0,8.0
214,7.0,7.0
209,5.0,6.0
208,5.0,6.0
6,5.0,6.0
38,4.0,5.0
69,3.0,4.0
75,3.0,4.0
213,2.0,3.0
168,2.0,3.0
94,2.0,3.0
61,2.0,3.0
19,2.0,3.0
78,1.0,2.0
158,1.0,2.0
30,1.0,2.0
186,1.0,2.0
56,1.0,2.0
43,1.0,2.0
109,1.0,2.0
110,1.0,2.0
603,1.0,2.0
122,0.0,1.0
14,0.0,1.0
1001,0.0,1.0
1003,0.0,1.0
11,0.0,1.0
112,0.0,1.0
141,0.0,1.0
23,0.0,1.0
198,0.0,1.0
21,0.0,1.0
199,0.0,1.0
142,0.0,1.0
173,0.0,1.0
185,0.0,1.0
230,0.0,1.0
349,0.0,1.0
5,0.0,1.0
64,0.0,1.0
83,0.0,1.0
76,0.0,1.0
96,0.0,1.0
98,0.0,1.0
